;ID_natural;SMILES;NumAtoms;MolWt;MolLogp;HAcceptors;HDonors;RindCount;tpsa;RotableBonds;MolecularFormula
1777;SN0000885;COC1CC(C)OC(CCC(C)C(O)C(C)C2OC(=O)/C=C/C(C)=C/CC(O)CC3CCCC(CC(OC)C(C)C(O)CC(O)C(C)C(O)C(C)C(C(C)CCC4CC(OC)CC(C)O4)OC(=O)/C=C/C(C)=C/CC(O)CC4C=CCC(CC(OC)C(C)C(O)CC(O)C2C)O4)O3)C1;98;1390.9468466879998;10.332199999999997;20;8;5;288.28;14;C78H134O20
1778;SN0000885;CO[C@H]1C[C@H](CC[C@H](C)[C@H](O)[C@H](C)[C@H]2OC(=O)/C=C\C(C)=C\C[C@H](O)C[C@@H]3CCC[C@H](C[C@H](OC)[C@@H](C)[C@@H](O)C[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)[C@H]([C@@H](C)CC[C@H]4C[C@H](OC)C[C@H](C)O4)OC(=O)/C=C\C(C)=C\C[C@H](O)C[C@@H]4C=CC[C@H](C[C@H](OC)[C@@H](C)[C@@H](O)C[C@@H](O)[C@@H]2C)O4)O3)O[C@@H](C)C1;98;1390.9468466879998;10.332199999999997;20;8;5;288.28;14;C78H134O20
1779;SN0000885;CO[C@H]1C[C@H](CC[C@H](C)[C@H](O)[C@H](C)[C@H]2OC(=O)/C=C/C(C)=C/C[C@H](O)C[C@@H]3CCC[C@H](C[C@H](OC)[C@@H](C)[C@@H](O)C[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)[C@H]([C@@H](C)CC[C@H]4C[C@H](OC)C[C@H](C)O4)OC(=O)/C=C/C(C)=C/C[C@H](O)C[C@@H]4C=CC[C@H](C[C@H](OC)[C@@H](C)[C@@H](O)C[C@@H](O)[C@@H]2C)O4)O3)O[C@@H](C)C1;98;1390.9468466879998;10.332199999999997;20;8;5;288.28;14;C78H134O20
1780;SN0000886;O=c1c(O)c(-c2cccc(O)c2)oc2cc(O)cc(O)c12;21;286.04773804;2.2824000000000004;6;4;3;111.13000000000001;1;C15H10O6
1781;SN0000887;C=C1CC(C=C(C)C)OC12CCC(C)(Cl)C(Br)C2;18;332.054255104;4.981400000000004;1;0;2;9.23;1;C15H22BrClO
1782;SN0000887;C=C1C[C@@H](C=C(C)C)O[C@@]12CC[C@](C)(Cl)[C@@H](Br)C2;18;332.054255104;4.981400000000004;1;0;2;9.23;1;C15H22BrClO
1783;SN0000887;C=C1C[C@H](C=C(C)C)O[C@@]12CC[C@](C)(Cl)[C@@H](Br)C2;18;332.054255104;4.981400000000004;1;0;2;9.23;1;C15H22BrClO
1784;SN0000888;CC=CC1=CC2=CC(=O)C(C)(OC(=O)c3c(C)c(Cl)c(O)c(Cl)c3OC)C(O)C2CO1;31;468.0742584039999;3.9079200000000034;7;2;3;102.29000000000002;4;C22H22Cl2O7
1785;SN0000888;C/C=C/C1=CC2=CC(=O)[C@](C)(OC(=O)c3c(C)c(Cl)c(O)c(Cl)c3OC)[C@@H](O)[C@@H]2CO1;31;468.0742584039999;3.9079200000000034;7;2;3;102.29000000000002;4;C22H22Cl2O7
1786;SN0000888;CC=CC1=CC2=CC(=O)[C@](C)(OC(=O)c3c(C)c(Cl)c(O)c(Cl)c3OC)[C@@H](O)[C@@H]2CO1;31;468.0742584039999;3.9079200000000034;7;2;3;102.29000000000002;4;C22H22Cl2O7
1787;SN0000889;COC(=O)c1ccc(COc2ccc3oc(C)c(C(=O)OC)c3c2)cc1;26;354.11033829599995;3.8934200000000025;6;0;3;74.97000000000001;5;C20H18O6
1788;SN0000890;CCc1cccc(CC2C(OC(=O)C=Cc3ccc(O)c(O)c3)C(O)(OC(=O)C=Cc3ccc(O)c(O)c3)C(O)CC2(O)C(=O)O)c1;47;650.199941148;2.3808000000000007;12;8;4;231.50999999999996;10;C34H34O13
